Source IP,Destination IP,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
13.210.43.32,192.168.20.48,20755.00,0.00,4.00,0.00
192.168.20.48,72.21.207.143,895476.00,0.00,27.00,0.00
52.94.235.74,192.168.20.43,2086.00,0.00,2.00,0.00
35.186.224.25,192.168.20.42,1191.00,0.00,1.00,0.00
192.168.20.43,209.54.180.48,459467.00,0.00,12.00,0.00
192.168.20.43,209.54.180.49,703385.00,0.00,13.00,0.00
192.168.20.43,44.228.215.143,24159472.00,0.00,92.00,0.00
192.168.20.43,8.8.4.4,30718.00,0.00,2.00,0.00
192.168.20.43,209.54.180.44,67916222.00,0.00,11.00,0.00
3.96.104.178,192.168.20.48,55326.00,0.00,10.00,0.00
192.168.20.43,209.54.180.46,1002112.00,0.00,26.00,0.00
192.168.20.43,209.54.181.12,375864.00,0.00,12.00,0.00
192.168.20.48,15.160.45.52,450483.00,278379.00,54.00,36.00
192.168.20.43,176.32.98.108,67774961.00,0.00,17.00,0.00
52.222.174.115,192.168.20.43,416.00,0.00,2.00,0.00
192.168.20.19,34.117.13.189,33847020470.50,28147525963.50,2111.00,1664.00
52.222.174.115,192.168.20.48,157.00,0.00,2.00,0.00
192.168.20.43,52.46.149.57,455345.00,0.00,11.00,0.00
52.95.123.112,192.168.20.43,11313.00,0.00,3.00,0.00
192.168.20.48,15.222.117.194,1675648.00,0.00,70.00,0.00
216.58.204.99,192.168.20.42,4084.00,0.00,2.00,0.00
192.168.20.43,3.234.38.31,77473.00,0.00,1.00,0.00
192.168.20.19,224.0.0.22,189473611.50,158033084.50,708.00,588.00
34.192.154.181,192.168.20.43,4571.00,0.00,3.00,0.00
192.168.20.19,54.76.219.197,72439.00,0.00,11.00,0.00
192.168.20.43,35.164.182.2,119085622.00,0.00,149.00,0.00
18.136.20.221,192.168.20.48,10404.50,8300.50,3.00,1.00
52.78.101.129,192.168.20.48,15161.00,14054.00,3.50,2.50
3.24.199.219,192.168.20.48,123417.00,0.00,3.00,0.00
192.168.20.43,54.226.11.35,18135565.50,14125851.50,206.00,188.00
192.168.20.48,52.119.198.109,392789.00,0.00,15.00,0.00
192.168.20.43,3.218.120.56,768805080.00,0.00,98.00,0.00
192.168.20.43,35.155.9.57,34087337.00,0.00,101.00,0.00
192.168.20.43,52.95.123.17,108186412.00,83430959.00,20.00,6.00
13.48.240.79,192.168.20.48,3391.00,0.00,3.00,0.00
192.168.20.48,52.119.198.101,396372.00,0.00,15.00,0.00
192.168.20.42,192.168.20.1,21655526439.50,17943810823.50,1355.50,1118.50
192.168.20.48,54.242.128.35,6782868.00,0.00,441.00,0.00
192.168.20.43,107.20.216.54,660126502.00,441508330.00,84.00,56.00
142.250.75.234,192.168.20.42,1830.00,0.00,4.00,0.00
192.168.20.43,192.168.20.1,1758088.50,1502267.50,710.00,590.00
192.168.20.43,52.46.138.21,2060487.00,0.00,105.00,0.00
52.41.96.203,192.168.20.48,3613.00,2259.00,2.50,1.50
192.168.20.42,216.58.215.42,406455996.00,0.00,151.00,0.00
192.168.20.42,216.58.214.74,296755555.00,0.00,92.00,0.00
192.168.20.48,35.161.60.59,1333869.00,0.00,36.00,0.00
52.95.124.103,192.168.20.43,4132.00,0.00,1.00,0.00
54.194.135.95,192.168.20.20,6311.00,0.00,2.00,0.00
192.168.20.48,34.195.175.66,4426247.00,0.00,278.00,0.00
192.168.20.48,52.84.174.54,389930.50,146868.50,69.50,28.50
192.168.20.43,52.95.124.103,87976981.00,0.00,66.00,0.00
54.251.207.146,192.168.20.48,45529.00,0.00,7.00,0.00
15.184.71.97,192.168.20.48,7087.50,5924.50,2.50,1.50
35.78.40.250,192.168.20.48,34163.00,0.00,5.00,0.00
192.168.20.48,52.222.175.76,1779095.00,1508778.00,261.00,226.00
54.217.255.252,192.168.20.48,12068.00,11027.00,2.50,1.50
52.84.186.53,192.168.20.43,20935.50,19108.50,3.50,2.50
192.168.20.43,209.54.179.88,112637472.00,0.00,22.00,0.00
192.168.20.43,52.222.174.115,352273.00,0.00,17.00,0.00
142.250.179.67,192.168.20.42,1060.00,0.00,1.00,0.00
52.46.137.106,192.168.20.43,5851.00,0.00,5.00,0.00
192.168.20.43,3.237.53.195,25891999.00,13890456.00,252.00,168.00
192.168.20.19,54.171.25.87,184463084.00,150285863.00,515.00,413.00
192.168.20.42,216.58.215.46,120469.00,0.00,10.00,0.00
192.168.20.42,216.58.214.78,215861402.00,0.00,160.00,0.00
192.168.20.48,44.193.236.65,3716482.50,3320612.50,233.00,216.00
216.58.214.170,192.168.20.42,2409.00,0.00,3.00,0.00
157.175.254.63,192.168.20.48,3669.00,0.00,3.00,0.00
192.168.20.43,52.94.238.249,461678.00,0.00,12.00,0.00
18.230.114.81,192.168.20.48,2392.00,0.00,2.00,0.00
192.168.20.43,52.217.230.40,25474955.00,0.00,140.00,0.00
192.168.20.42,216.58.201.234,99162836.00,0.00,223.00,0.00
52.52.248.225,192.168.20.45,42142268744.50,34944094830.50,1444.00,1204.00
192.168.20.48,108.136.173.211,889926.00,0.00,18.00,0.00
192.168.20.42,216.58.201.238,8097689.00,0.00,9.00,0.00
192.168.20.19,203.107.6.88,1993729.00,1806480.00,10.00,9.00
192.168.20.48,3.227.83.236,3504826.00,0.00,220.00,0.00
192.168.20.48,13.244.248.70,2043857.00,0.00,54.00,0.00
216.58.204.102,192.168.20.42,1107.00,0.00,1.00,0.00
3.39.78.62,192.168.20.48,52471.00,0.00,3.00,0.00
192.168.20.43,209.54.179.93,62444325.00,0.00,11.00,0.00
52.46.132.114,192.168.20.43,7731.00,0.00,3.00,0.00
192.168.20.43,52.46.137.70,1098787.00,143119.00,35.00,11.00
192.168.20.43,209.54.181.4,107420633.00,0.00,22.00,0.00
192.168.20.48,108.136.174.255,3475912.00,0.00,72.00,0.00
13.41.22.196,192.168.20.48,9196.00,8118.00,3.50,2.50
192.168.20.48,239.255.255.250,32903717.50,26901654.50,49.50,40.50
192.168.20.45,8.8.8.8,1661523.00,0.00,179.00,0.00
216.58.198.202,192.168.20.42,240.00,0.00,3.00,0.00
192.168.20.45,51.15.195.76,2638.00,0.00,1.00,0.00
192.168.20.43,35.167.225.196,18136458.00,0.00,46.00,0.00
3.136.46.116,192.168.20.48,32703.00,0.00,4.00,0.00
192.168.20.13,18.184.31.90,34446505638.50,29161143087.50,1546.00,1285.00
192.168.20.48,52.46.149.29,480689.00,0.00,15.00,0.00
192.168.20.43,44.199.52.214,12648352.00,0.00,20.00,0.00
192.168.20.48,72.21.207.82,423411.00,0.00,14.00,0.00
192.168.20.43,34.224.247.2,334854507.00,114623004.00,42.00,14.00
192.168.20.48,18.159.178.100,149187.00,0.00,17.00,0.00
192.168.20.42,239.255.255.251,21563769584.00,17903359526.00,706.00,585.00
192.168.20.45,239.255.255.250,32192886802.00,26732921007.00,9932.50,8252.50
192.168.20.43,44.197.28.104,1328471661.00,0.00,168.00,0.00
192.168.20.43,52.46.128.39,65588328.00,0.00,31.00,0.00
35.164.182.2,192.168.20.48,109.00,0.00,2.00,0.00
216.58.214.74,192.168.20.42,2917.00,0.00,4.00,0.00
192.168.20.43,3.5.16.186,8495268.00,0.00,44.00,0.00
192.168.20.43,54.166.101.241,18448542.00,10020730.00,199.50,47.50
192.168.20.20,99.81.252.178,5831311758.00,0.00,328.00,0.00
3.69.3.200,192.168.20.48,22271.00,0.00,1.00,0.00
52.84.186.193,192.168.20.43,11594.00,0.00,3.00,0.00
142.250.75.238,192.168.20.42,53543.00,39169.00,22.00,19.00
192.168.20.48,52.41.96.203,1703987.00,1016496.00,44.50,26.50
192.168.20.19,224.0.0.251,21538070820.50,17923803352.50,764.00,648.00
18.189.153.72,192.168.20.48,8927.00,0.00,4.00,0.00
216.58.215.42,192.168.20.42,22590.00,0.00,5.00,0.00
44.234.113.198,192.168.20.43,695.00,0.00,18.00,0.00
54.221.200.137,192.168.20.48,41249.00,0.00,16.00,0.00
192.168.20.48,44.199.52.214,5512234.00,5132579.00,348.00,324.00
192.168.20.48,54.243.58.104,2603484.00,0.00,149.00,0.00
192.168.20.43,52.205.66.64,19354446.00,0.00,97.00,0.00
35.177.87.146,192.168.20.48,4699.50,2352.50,3.00,1.00
192.168.20.45,142.251.5.108,30320154.00,0.00,12.00,0.00
192.168.20.42,151.101.2.217,429596842.00,0.00,31.00,0.00
192.168.20.45,142.251.5.109,50489229.00,0.00,20.00,0.00
192.168.20.48,209.54.178.164,385476.00,0.00,15.00,0.00
192.168.20.48,13.245.156.242,3387721.00,0.00,90.00,0.00
192.168.20.10,35.187.98.37,40775730703.00,34070407089.00,20863.50,19920.50
192.168.20.42,142.250.201.174,1000329.00,0.00,112.00,0.00
192.168.20.48,209.54.178.166,861111.00,0.00,29.00,0.00
192.168.20.48,15.161.75.23,380935.00,212132.00,43.50,26.50
3.37.195.5,192.168.20.48,8533.00,0.00,3.00,0.00
52.95.125.12,192.168.20.43,8161.00,0.00,1.00,0.00
192.168.20.42,142.250.201.170,246885653.00,0.00,88.00,0.00
192.168.20.48,209.54.177.154,384114.00,0.00,15.00,0.00
192.168.20.43,52.222.174.11,180386346.00,0.00,147.00,0.00
192.168.20.42,142.250.179.99,194941778.00,0.00,22.00,0.00
15.160.45.52,192.168.20.48,11927.50,8291.50,3.00,2.00
52.45.41.186,192.168.20.48,17639.00,0.00,2.00,0.00
192.168.20.43,52.222.174.18,60110510.00,0.00,49.00,0.00
192.168.20.48,104.199.65.124,40398495317.50,33554197781.50,8942.00,7431.00
192.168.20.42,216.239.35.12,208448.00,0.00,17.00,0.00
192.168.20.43,52.95.126.126,171514671.00,0.00,25.00,0.00
192.168.20.43,3.220.182.54,11550621.00,0.00,129.00,0.00
44.199.52.214,192.168.20.48,64295.50,51937.50,12.00,11.00
192.168.20.43,44.197.48.34,25139611828.00,0.00,1113.00,0.00
192.168.20.43,52.20.185.33,665231467.50,554173451.50,84.00,70.00
192.168.20.20,54.194.135.95,245664.00,0.00,11.00,0.00
44.199.138.71,192.168.20.48,30168.00,0.00,5.00,0.00
44.237.137.84,192.168.20.48,2460.00,1340.00,2.00,1.00
192.168.20.43,44.209.146.104,772715973.00,0.00,98.00,0.00
15.222.117.194,192.168.20.48,34410.00,0.00,4.00,0.00
192.168.20.48,13.49.17.198,622056.50,415251.50,53.50,36.50
192.168.20.42,142.250.179.67,194960483.00,0.00,22.00,0.00
52.46.136.68,192.168.20.43,5264.00,0.00,3.00,0.00
192.168.20.42,35.188.42.15,110024273.00,0.00,13.00,0.00
54.239.27.88,192.168.20.43,10294.00,5822.00,4.50,3.50
192.168.20.43,209.54.181.98,66658345.00,0.00,11.00,0.00
23.23.159.254,192.168.20.48,1090.00,0.00,1.00,0.00
192.168.20.48,3.114.229.27,2018487.00,959013.00,35.50,18.50
192.168.20.48,13.210.43.32,4555771.00,0.00,72.00,0.00
192.168.20.42,216.58.204.99,36584683197.00,30371411806.00,2168.00,1803.00
18.210.238.233,192.168.20.48,5280.00,0.00,2.00,0.00
3.227.83.236,192.168.20.48,29977.00,0.00,8.00,0.00
192.168.20.19,173.194.76.206,32200425760.50,26685924255.50,1468.00,1218.00
192.168.20.43,3.227.250.193,8515904.00,0.00,20.00,0.00
13.40.227.239,192.168.20.48,3270.00,0.00,3.00,0.00
216.58.214.78,192.168.20.42,1146.00,0.00,1.00,0.00
192.168.20.43,52.1.172.87,16329521.00,12796940.00,132.00,88.00
192.168.20.43,52.39.190.49,161314246.00,0.00,204.00,0.00
192.168.20.43,54.242.128.35,93183690.00,0.00,44.00,0.00
192.168.20.48,54.215.85.141,4053704.00,0.00,107.00,0.00
192.168.20.43,54.92.237.197,1223885181.00,0.00,158.00,0.00
192.168.20.48,52.119.198.2,473121.00,0.00,13.00,0.00
52.50.86.158,192.168.20.19,453.00,0.00,1.00,0.00
34.239.216.180,192.168.20.43,4069.00,0.00,3.00,0.00
192.168.20.48,35.78.40.250,4998966.00,0.00,90.00,0.00
192.168.20.43,34.234.151.208,1491985243.00,0.00,192.00,0.00
192.168.20.42,142.250.179.74,185409996.00,0.00,150.00,0.00
192.168.20.48,52.119.198.186,421673.00,0.00,14.00,0.00
13.37.195.75,192.168.20.48,15306.00,0.00,5.00,0.00
192.168.20.48,52.94.242.236,390342.00,0.00,15.00,0.00
54.253.143.250,192.168.20.48,29063.00,0.00,8.00,0.00
192.168.20.42,255.255.255.255,42940059912.50,35618146340.50,1419.50,1177.50
192.168.20.48,255.255.255.255,5775.50,5624.50,31.50,25.50
209.54.179.231,192.168.20.43,19986.00,0.00,3.00,0.00
192.168.20.19,108.128.53.179,6145496647.00,4640980274.00,1550.00,1127.00
192.168.20.43,54.209.44.8,22501501.00,0.00,175.00,0.00
192.168.20.43,52.84.177.20,13958665.00,11723185.00,953.00,802.00
192.168.20.43,52.2.208.65,219042739.00,110124459.00,28.00,14.00
192.168.20.43,54.92.128.108,96371222.00,0.00,21.00,0.00
192.168.20.48,209.54.177.114,765715.00,0.00,28.00,0.00
192.168.20.1,224.0.0.251,66896157.00,0.00,30.00,0.00
34.254.21.139,192.168.20.48,14155.50,13095.50,3.00,2.00
192.168.20.43,52.222.175.205,60492980.50,25170.50,77.50,40.50
192.168.20.42,224.0.0.22,46884479.00,0.00,8.00,0.00
108.136.173.211,192.168.20.48,1278.00,0.00,1.00,0.00
192.168.20.43,52.46.129.152,1013148.00,0.00,25.00,0.00
192.168.20.48,44.198.224.47,756627.00,0.00,36.00,0.00
192.168.20.12,35.156.42.116,35941274920.00,29820396030.00,1530.50,1262.50
192.168.20.48,13.58.242.30,840631.50,428389.50,36.00,18.00
192.168.20.43,52.222.198.143,60895233.00,0.00,18.00,0.00
192.168.20.43,52.46.128.81,69916203.00,0.00,10.00,0.00
192.168.20.45,51.145.123.29,29646.00,0.00,1.00,0.00
192.168.20.48,44.199.138.71,1939137.00,0.00,90.00,0.00
52.16.104.93,192.168.20.48,4103.00,0.00,8.00,0.00
192.168.20.48,44.237.137.84,1331162.00,671648.00,36.00,18.00
54.215.85.141,192.168.20.48,56159.00,0.00,6.00,0.00
192.168.20.43,52.46.155.112,425758.00,0.00,11.00,0.00
192.168.20.43,35.173.37.37,97500316.00,0.00,51.00,0.00
192.168.20.43,44.226.67.213,242445022.00,0.00,90.00,0.00
192.168.20.45,162.159.200.123,17654.00,0.00,1.00,0.00
192.168.20.43,34.195.153.29,11045371.50,7663487.50,49.50,36.50
192.168.20.43,178.236.7.140,17764069.00,0.00,25.00,0.00
192.168.20.48,54.251.207.146,5744575.00,0.00,124.00,0.00
13.38.196.8,192.168.20.48,1325.00,0.00,1.00,0.00
216.58.206.227,192.168.20.42,1532.00,0.00,3.00,0.00
52.84.174.68,192.168.20.43,22474.00,0.00,2.00,0.00
192.168.20.43,52.200.163.50,438637219.50,329315762.50,56.00,42.00
52.16.104.93,192.168.20.43,36571.00,0.00,19.00,0.00
192.168.20.43,35.174.77.103,996768985.00,0.00,126.00,0.00
