Source IP,Destination IP,Date,Total Flow Duration,Total Forward Packets,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
192.168.20.43,34.195.153.29,2022-03-11,24505115.00,163,14046789.00,10458326.00,90.50,72.50
35.183.173.98,192.168.20.48,2022-03-11,19132.00,7,164985.00,145853.00,4.50,2.50
52.46.145.112,192.168.20.43,2022-03-11,3253.00,3,3253.00,0.00,3.00,0.00
192.168.20.48,13.125.158.78,2022-03-11,11124174.00,93,6448124.00,4676050.00,55.50,37.50
143.204.231.23,192.168.20.43,2022-02-11,2374.00,1,2374.00,0.00,1.00,0.00
54.164.103.224,192.168.20.48,2022-02-11,2315.00,2,2315.00,0.00,2.00,0.00
192.168.20.43,52.216.32.25,2022-03-11,8866226.00,293,8866226.00,0.00,293.00,0.00
192.168.20.43,52.200.163.50,2022-03-11,1176541513.00,152,1176541513.00,0.00,152.00,0.00
54.239.35.210,192.168.20.43,2022-03-11,35531.00,1,35531.00,0.00,1.00,0.00
192.168.20.43,52.216.102.35,2022-02-11,9025698.00,136,9025698.00,0.00,136.00,0.00
52.39.190.49,192.168.20.43,2022-02-11,79.00,2,79.00,0.00,2.00,0.00
52.222.200.21,192.168.20.48,2022-03-11,2799.00,1,2799.00,0.00,1.00,0.00
192.168.20.42,216.58.214.176,2022-07-10,431133707.00,190,431133707.00,0.00,190.00,0.00
192.168.20.48,54.209.25.171,2022-02-11,232808.00,7,232808.00,0.00,7.00,0.00
192.168.20.43,34.231.161.19,2022-07-10,303284849.00,128,303284849.00,0.00,128.00,0.00
192.168.20.48,3.214.4.85,2022-03-11,840602.00,7,840602.00,0.00,7.00,0.00
192.168.20.48,18.164.57.217,2022-03-11,5413437.00,142,5413437.00,0.00,142.00,0.00
108.136.173.211,192.168.20.48,2022-07-10,1278.00,1,1278.00,0.00,1.00,0.00
192.168.20.48,18.136.20.221,2022-07-10,3132447.00,71,2371524.50,760922.50,53.50,17.50
216.58.206.234,192.168.20.42,2022-02-11,3512.00,2,3512.00,0.00,2.00,0.00
3.233.109.178,192.168.20.48,2022-03-11,877762.00,4,877762.00,0.00,4.00,0.00
192.168.20.43,3.20.12.57,2022-02-11,109278627.00,11,109278627.00,0.00,11.00,0.00
35.167.225.196,192.168.20.43,2022-02-11,80.00,2,874.50,794.50,1.50,0.50
192.168.20.43,3.227.250.131,2022-03-11,8844331.00,20,8844331.00,0.00,20.00,0.00
192.168.20.43,3.141.175.126,2022-02-11,114149534.00,14,114149534.00,0.00,14.00,0.00
192.168.20.43,72.21.195.82,2022-02-11,21215205.00,28,21215205.00,0.00,28.00,0.00
192.168.20.48,209.54.179.88,2022-03-11,964699.00,17,964699.00,0.00,17.00,0.00
192.168.20.43,52.39.190.49,2022-03-11,52812456.00,131,37826182.00,14986274.00,83.50,47.50
50.16.91.222,192.168.20.48,2022-03-11,528455.00,4,528455.00,0.00,4.00,0.00
192.168.20.45,142.250.13.108,2022-07-10,50371663.00,19,50371663.00,0.00,19.00,0.00
52.222.200.21,192.168.20.43,2022-03-11,428.00,5,428.00,0.00,5.00,0.00
192.168.20.45,142.250.13.109,2022-07-10,30156790.00,12,30156790.00,0.00,12.00,0.00
192.168.20.43,52.206.230.179,2022-02-11,96597744.00,29,96597744.00,0.00,29.00,0.00
192.168.20.48,54.215.85.141,2022-07-10,4053704.00,107,4053704.00,0.00,107.00,0.00
192.168.20.43,52.217.170.73,2022-02-11,9635564.00,326,9635564.00,0.00,326.00,0.00
52.94.218.69,192.168.20.43,2022-03-11,3683.00,2,3683.00,0.00,2.00,0.00
192.168.20.48,13.245.125.189,2022-03-11,8148322.00,135,8148322.00,0.00,135.00,0.00
192.168.20.43,34.237.106.83,2022-02-11,193445870.00,62,193445870.00,0.00,62.00,0.00
