Source IP,Destination IP,Date,Total Flow Duration,Total Forward Packets,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
192.168.20.43,52.217.76.92,2022-02-11,9287097.00,307,9287097.00,0.00,307.00,0.00
192.168.20.48,35.161.60.59,2022-07-10,1333869.00,36,1333869.00,0.00,36.00,0.00
192.168.20.43,209.54.181.12,2022-03-11,416902.00,13,416902.00,0.00,13.00,0.00
192.168.20.48,52.71.238.202,2022-02-11,2523755.00,90,2523755.00,0.00,90.00,0.00
192.168.20.48,52.84.174.54,2022-07-10,536799.00,98,389930.50,146868.50,69.50,28.50
192.168.20.43,54.239.27.88,2022-02-11,407344.00,11,407344.00,0.00,11.00,0.00
192.168.20.48,13.40.227.239,2022-07-10,297325.00,54,297325.00,0.00,54.00,0.00
142.250.179.78,192.168.20.42,2022-02-11,1082.00,1,1082.00,0.00,1.00,0.00
192.168.20.43,52.84.186.170,2022-07-10,151045031.00,55,151045031.00,0.00,55.00,0.00
192.168.20.48,3.127.132.111,2022-07-10,439318.00,73,439318.00,0.00,73.00,0.00
192.168.20.18,51.195.117.133,2022-03-11,36128451.00,55,18125023.00,18003428.00,28.50,26.50
192.168.20.43,44.206.125.144,2022-02-11,637655653.00,30,637655653.00,0.00,30.00,0.00
52.206.230.179,192.168.20.48,2022-02-11,453050.00,2,453050.00,0.00,2.00,0.00
3.140.228.75,192.168.20.48,2022-03-11,12086.00,6,12086.00,0.00,6.00,0.00
192.168.20.48,52.20.206.121,2022-03-11,65279200.00,1839,65279200.00,0.00,1839.00,0.00
192.168.20.43,84.102.220.168,2022-02-11,5416.00,1,5416.00,0.00,1.00,0.00
192.168.20.48,18.164.57.55,2022-02-11,238649.00,19,238649.00,0.00,19.00,0.00
209.54.180.48,192.168.20.43,2022-07-10,1290.00,2,1290.00,0.00,2.00,0.00
192.168.20.20,8.8.8.8,2022-03-11,1137887.00,10,581361.00,556526.00,6.00,4.00
192.168.20.43,209.54.179.227,2022-02-11,382598.00,12,382598.00,0.00,12.00,0.00
15.161.75.23,192.168.20.48,2022-07-10,12995.00,4,7068.50,5926.50,2.50,1.50
192.168.20.48,176.32.101.46,2022-03-11,1040016.00,18,1040016.00,0.00,18.00,0.00
192.168.20.48,54.175.170.68,2022-02-11,1557913.00,44,1557913.00,0.00,44.00,0.00
54.85.101.161,192.168.20.48,2022-03-11,2744.00,2,2744.00,0.00,2.00,0.00
54.207.10.176,192.168.20.48,2022-03-11,1186480.00,5,593752.00,592728.00,3.00,2.00
192.168.20.20,54.220.151.155,2022-02-11,2402346907.00,134,17468256461.00,15065909554.00,1042.00,908.00
192.168.20.43,3.233.174.130,2022-02-11,103335845.00,17,103335845.00,0.00,17.00,0.00
192.168.20.48,15.184.71.97,2022-07-10,1509368.00,69,956013.00,553355.00,43.50,25.50
192.168.20.48,72.21.195.82,2022-03-11,2464972.00,48,1673980.50,790991.50,33.00,15.00
192.168.20.48,18.205.71.63,2022-02-11,158799.00,5,158799.00,0.00,5.00,0.00
52.46.149.63,192.168.20.43,2022-03-11,2738.00,3,2738.00,0.00,3.00,0.00
52.44.87.149,192.168.20.48,2022-03-11,81017.00,3,81017.00,0.00,3.00,0.00
44.240.184.205,192.168.20.43,2022-03-11,93.00,2,93.00,0.00,2.00,0.00
192.168.20.48,52.27.163.92,2022-03-11,1302833.00,24,1302833.00,0.00,24.00,0.00
192.168.20.42,142.250.179.110,2022-03-11,16234895.00,18,16234895.00,0.00,18.00,0.00
209.54.179.231,192.168.20.43,2022-07-10,19986.00,3,19986.00,0.00,3.00,0.00
52.46.133.115,192.168.20.43,2022-06-10,1048.00,1,1048.00,0.00,1.00,0.00
192.168.20.43,52.46.136.110,2022-03-11,365792.00,11,365792.00,0.00,11.00,0.00
35.78.40.250,192.168.20.48,2022-07-10,34163.00,5,34163.00,0.00,5.00,0.00
192.168.20.43,209.54.181.79,2022-03-11,1352046.00,32,1352046.00,0.00,32.00,0.00
52.218.97.27,192.168.20.48,2022-02-11,2610.00,4,2610.00,0.00,4.00,0.00
192.168.20.42,142.250.179.112,2022-02-11,430499545.00,168,430499545.00,0.00,168.00,0.00
192.168.20.43,52.216.140.188,2022-02-11,9660768.00,316,9660768.00,0.00,316.00,0.00
34.254.21.139,192.168.20.48,2022-06-10,1060.00,1,14155.50,13095.50,3.00,2.00
192.168.20.48,52.16.104.93,2022-03-11,33791403145.00,2530,33791403145.00,0.00,2530.00,0.00
192.168.20.42,224.0.0.251,2022-03-11,48219658755.00,6854,25175703468.50,23043955286.50,3582.00,3272.00
192.168.20.43,13.225.29.201,2022-03-11,335134575.00,96,169892152.00,165242423.00,54.00,42.00
192.168.20.42,224.0.0.250,2022-03-11,42150014995.00,1362,21975115076.50,20174899918.50,711.00,651.00
52.46.153.177,192.168.20.43,2022-03-11,1247.00,1,1247.00,0.00,1.00,0.00
15.184.71.97,192.168.20.48,2022-07-10,13012.00,4,7087.50,5924.50,2.50,1.50
192.168.20.43,52.216.78.100,2022-03-11,8892573.00,280,8892573.00,0.00,280.00,0.00
192.168.20.48,44.193.236.65,2022-03-11,30018314.00,801,30018314.00,0.00,801.00,0.00
192.168.20.45,200.25.3.11,2022-03-11,163225.00,1,163225.00,0.00,1.00,0.00
192.168.20.43,54.239.31.104,2022-02-11,73662105.00,15,73662105.00,0.00,15.00,0.00
192.168.20.43,54.164.163.115,2022-03-11,13666990.00,33,13666990.00,0.00,33.00,0.00
192.168.20.48,54.249.26.192,2022-03-11,5660898.00,53,5660898.00,0.00,53.00,0.00
142.250.179.112,192.168.20.42,2022-02-11,2455.00,3,2455.00,0.00,3.00,0.00
52.94.240.240,192.168.20.48,2022-03-11,168441.00,1,168441.00,0.00,1.00,0.00
192.168.20.48,52.46.128.39,2022-03-11,2484766.00,48,2484766.00,0.00,48.00,0.00
192.168.20.48,13.38.196.8,2022-07-10,103364.00,20,103364.00,0.00,20.00,0.00
54.203.166.245,192.168.20.48,2022-03-11,509120.00,5,509120.00,0.00,5.00,0.00
192.168.20.48,52.94.242.236,2022-03-11,1095271.00,18,1095271.00,0.00,18.00,0.00
52.94.219.88,192.168.20.43,2022-02-11,6007188.00,6,6007188.00,0.00,6.00,0.00
192.168.20.43,107.23.85.26,2022-03-11,874886650.00,112,874886650.00,0.00,112.00,0.00
192.168.20.48,13.53.153.247,2022-07-10,777595.00,72,777595.00,0.00,72.00,0.00
192.168.20.43,3.132.181.29,2022-02-11,3061817.00,6,3061817.00,0.00,6.00,0.00
52.76.51.147,192.168.20.48,2022-03-11,375839.00,7,375839.00,0.00,7.00,0.00
192.168.20.43,52.222.193.55,2022-03-11,301643251.00,106,301643251.00,0.00,106.00,0.00
192.168.20.48,34.254.21.139,2022-06-10,148002.00,18,443642.00,295640.00,54.00,36.00
192.168.20.43,18.205.68.150,2022-02-11,76985.00,1,76985.00,0.00,1.00,0.00
192.168.20.43,52.216.130.203,2022-02-11,9740119.00,322,9740119.00,0.00,322.00,0.00
192.168.20.43,52.46.137.138,2022-02-11,366810.00,12,366810.00,0.00,12.00,0.00
192.168.20.43,52.46.137.137,2022-06-10,543700.00,35,1489792.00,946092.00,64.00,29.00
192.168.20.43,52.217.136.161,2022-03-11,8791134.00,312,8791134.00,0.00,312.00,0.00
192.168.20.48,16.163.205.165,2022-07-10,3017847.00,52,1997481.00,1020366.00,35.00,17.00
192.168.20.48,54.206.221.238,2022-03-11,6481568.00,57,6481568.00,0.00,57.00,0.00
192.168.20.48,34.206.0.194,2022-03-11,1561287.00,41,1561287.00,0.00,41.00,0.00
23.23.159.254,192.168.20.48,2022-07-10,1090.00,1,1090.00,0.00,1.00,0.00
18.167.1.113,192.168.20.48,2022-03-11,1469097.00,6,1469097.00,0.00,6.00,0.00
192.168.20.48,52.84.174.15,2022-07-10,182854.00,29,182854.00,0.00,29.00,0.00
192.168.20.48,3.76.1.196,2022-03-11,953233.00,71,953233.00,0.00,71.00,0.00
192.168.20.43,52.205.40.218,2022-07-10,193387937.00,65,193387937.00,0.00,65.00,0.00
192.168.20.43,54.231.139.193,2022-03-11,9332132.00,317,9332132.00,0.00,317.00,0.00
192.168.20.43,52.202.2.34,2022-03-11,13125993.00,34,13125993.00,0.00,34.00,0.00
192.168.20.10,130.211.135.74,2022-02-11,9503887.00,90,9503887.00,0.00,90.00,0.00
54.239.33.207,192.168.20.43,2022-07-10,4087.00,1,4087.00,0.00,1.00,0.00
192.168.20.48,34.252.33.62,2022-03-11,2249015.00,178,1267441.00,981574.00,98.00,80.00
52.206.69.242,192.168.20.48,2022-03-11,8190.00,4,8190.00,0.00,4.00,0.00
192.168.20.43,52.217.139.57,2022-03-11,9554488.00,320,9554488.00,0.00,320.00,0.00
52.78.101.129,192.168.20.48,2022-07-10,29215.00,6,15161.00,14054.00,3.50,2.50
192.168.20.43,54.158.105.246,2022-02-11,97028779.00,30,97028779.00,0.00,30.00,0.00
192.168.20.43,3.227.83.236,2022-03-11,65309001.00,53,65309001.00,0.00,53.00,0.00
192.168.20.43,13.225.29.228,2022-03-11,60507733.00,27,60507733.00,0.00,27.00,0.00
35.164.36.47,192.168.20.48,2022-03-11,6613.00,4,6613.00,0.00,4.00,0.00
192.168.20.13,18.195.249.137,2022-03-11,629704.00,29,629704.00,0.00,29.00,0.00
192.168.20.43,3.214.58.173,2022-03-11,76816.00,1,76816.00,0.00,1.00,0.00
192.168.20.43,54.86.198.4,2022-03-11,990429014.00,126,990429014.00,0.00,126.00,0.00
192.168.20.43,52.46.136.68,2022-02-11,703809.00,13,703809.00,0.00,13.00,0.00
192.168.20.43,52.94.238.249,2022-02-11,389397.00,12,389397.00,0.00,12.00,0.00
192.168.20.48,54.239.27.116,2022-03-11,910030.00,17,910030.00,0.00,17.00,0.00
192.168.20.43,52.95.125.12,2022-03-11,95561573.00,26,70894235.50,24667337.50,46.00,20.00
192.168.20.43,52.46.131.184,2022-03-11,1581879.00,32,1581879.00,0.00,32.00,0.00
192.168.20.48,18.102.88.160,2022-03-11,420698.00,35,420698.00,0.00,35.00,0.00
192.168.20.13,18.185.182.159,2022-07-10,176858.00,10,176858.00,0.00,10.00,0.00
192.168.20.48,18.210.238.233,2022-07-10,771727.00,35,771727.00,0.00,35.00,0.00
192.168.20.42,142.250.179.106,2022-03-11,95300432.00,139,95300432.00,0.00,139.00,0.00
192.168.20.48,107.20.127.221,2022-03-11,3418949.00,92,3418949.00,0.00,92.00,0.00
52.222.174.115,192.168.20.48,2022-07-10,157.00,2,157.00,0.00,2.00,0.00
52.52.248.225,192.168.20.45,2022-06-10,7198173914.00,240,42142268744.50,34944094830.50,1444.00,1204.00
52.222.193.55,192.168.20.48,2022-03-11,8209.00,4,8209.00,0.00,4.00,0.00
192.168.20.43,54.231.204.153,2022-03-11,9009581.00,318,9009581.00,0.00,318.00,0.00
52.222.174.115,192.168.20.43,2022-07-10,416.00,2,416.00,0.00,2.00,0.00
192.168.20.43,184.73.130.219,2022-03-11,36455810.00,291,36455810.00,0.00,291.00,0.00
54.193.16.2,192.168.20.48,2022-02-11,3060.00,2,550742.00,547682.00,5.50,3.50
192.168.20.48,52.218.97.27,2022-02-11,170710.00,37,170710.00,0.00,37.00,0.00
192.168.20.48,35.178.33.97,2022-03-11,1024129.00,37,1024129.00,0.00,37.00,0.00
143.204.231.38,192.168.20.43,2022-03-11,1760.00,1,1760.00,0.00,1.00,0.00
54.215.58.112,192.168.20.48,2022-03-11,919217.00,5,668801.00,250416.00,3.50,1.50
3.129.46.143,192.168.20.43,2022-02-11,12357.00,7,12357.00,0.00,7.00,0.00
52.222.193.55,192.168.20.43,2022-03-11,119944430.00,6,119944430.00,0.00,6.00,0.00
67.220.240.30,192.168.20.43,2022-03-11,2333.00,4,2333.00,0.00,4.00,0.00
54.159.111.180,192.168.20.43,2022-07-10,89167.00,2,89167.00,0.00,2.00,0.00
192.168.20.48,52.202.2.34,2022-03-11,53009726.00,1557,53009726.00,0.00,1557.00,0.00
54.217.255.252,192.168.20.48,2022-06-10,1041.00,1,12068.00,11027.00,2.50,1.50
192.168.20.43,52.217.106.164,2022-03-11,68905017.00,284,68905017.00,0.00,284.00,0.00
142.250.201.174,192.168.20.42,2022-03-11,970.00,1,970.00,0.00,1.00,0.00
192.168.20.42,216.58.201.238,2022-07-10,8097689.00,9,8097689.00,0.00,9.00,0.00
13.225.34.84,192.168.20.48,2022-02-11,4714.00,1,4714.00,0.00,1.00,0.00
192.168.20.42,216.58.201.234,2022-03-11,703547.00,22,703547.00,0.00,22.00,0.00
192.168.20.48,15.222.185.72,2022-03-11,4099380.00,80,4099380.00,0.00,80.00,0.00
18.66.136.78,192.168.20.43,2022-02-11,79.00,2,79.00,0.00,2.00,0.00
3.71.131.162,192.168.20.48,2022-03-11,12572.00,4,12572.00,0.00,4.00,0.00
192.168.20.48,75.2.1.39,2022-03-11,239593.00,14,239593.00,0.00,14.00,0.00
192.168.20.42,35.188.42.15,2022-03-11,108693131.00,13,108693131.00,0.00,13.00,0.00
108.136.92.85,192.168.20.48,2022-03-11,737372.00,6,737372.00,0.00,6.00,0.00
192.168.20.12,18.195.249.137,2022-03-11,553658.00,29,553658.00,0.00,29.00,0.00
192.168.20.43,8.8.8.8,2022-03-11,21132935.00,1055,10975538.00,10157397.00,569.00,486.00
13.225.34.84,192.168.20.43,2022-02-11,431.00,3,431.00,0.00,3.00,0.00
52.46.155.112,192.168.20.48,2022-02-11,477453.00,2,477453.00,0.00,2.00,0.00
192.168.20.43,54.231.231.9,2022-03-11,8793674.00,308,8793674.00,0.00,308.00,0.00
192.168.20.43,143.204.231.88,2022-03-11,60122051.00,16,60122051.00,0.00,16.00,0.00
192.168.20.20,224.0.0.251,2022-03-11,1567780.00,46,797478.50,770301.50,24.00,22.00
192.168.20.45,142.250.110.108,2022-07-10,10080035.00,4,10080035.00,0.00,4.00,0.00
192.168.20.45,142.250.110.109,2022-07-10,30159597.00,12,30159597.00,0.00,12.00,0.00
192.168.20.48,52.46.131.209,2022-07-10,389255.00,14,389255.00,0.00,14.00,0.00
192.168.20.43,13.225.29.97,2022-03-11,150118134.00,28,150118134.00,0.00,28.00,0.00
192.168.20.48,13.127.196.185,2022-07-10,2967588.00,108,2967588.00,0.00,108.00,0.00
192.168.20.12,35.156.42.116,2022-07-10,65761670950.00,2793,35941274920.00,29820396030.00,1530.50,1262.50
3.1.115.53,192.168.20.48,2022-03-11,1055356.00,10,1055356.00,0.00,10.00,0.00
192.168.20.48,35.177.87.146,2022-07-10,426752.00,72,324608.00,102144.00,54.00,18.00
142.250.179.67,192.168.20.42,2022-02-11,7860.00,2,7860.00,0.00,2.00,0.00
192.168.20.43,52.49.90.101,2022-02-11,69763057.00,15,69763057.00,0.00,15.00,0.00
44.197.43.221,192.168.20.43,2022-03-11,79542.00,6,51305.50,28236.50,9.50,3.50
192.168.20.48,34.237.111.59,2022-03-11,45967133.00,1374,45967133.00,0.00,1374.00,0.00
192.168.20.43,52.222.145.55,2022-03-11,60337796.00,34,60337796.00,0.00,34.00,0.00
192.168.20.43,52.20.206.121,2022-03-11,87628474.00,36,87628474.00,0.00,36.00,0.00
192.168.20.48,18.206.129.39,2022-02-11,1824794580.00,83,21325381788.00,19500587208.00,983.50,900.50
34.206.0.194,192.168.20.48,2022-03-11,3009.00,2,3009.00,0.00,2.00,0.00
192.168.20.43,52.46.131.169,2022-02-11,85809655.00,10,85809655.00,0.00,10.00,0.00
192.168.20.19,54.78.125.193,2022-02-11,21736562.00,56,180050364.00,158313802.00,500.00,444.00
192.168.20.43,107.20.216.54,2022-03-11,786745131.00,98,786745131.00,0.00,98.00,0.00
216.58.215.42,192.168.20.42,2022-03-11,77.00,2,77.00,0.00,2.00,0.00
192.168.20.43,54.92.237.197,2022-03-11,1322595518.00,168,1322595518.00,0.00,168.00,0.00
192.168.20.48,54.243.58.104,2022-02-11,881193.00,21,48348771.00,47467578.00,1393.00,1372.00
192.168.20.43,52.217.89.180,2022-02-11,9257119.00,319,9257119.00,0.00,319.00,0.00
192.168.20.43,52.46.145.112,2022-03-11,528249.00,34,528249.00,0.00,34.00,0.00
100.21.0.103,192.168.20.43,2022-02-11,21352.00,21,21352.00,0.00,21.00,0.00
18.214.151.92,192.168.20.48,2022-07-10,11183.00,1,11183.00,0.00,1.00,0.00
192.168.20.48,13.58.242.30,2022-07-10,1269021.00,54,840631.50,428389.50,36.00,18.00
192.168.20.12,3.120.92.134,2022-02-11,3060225430.00,130,34410306522.00,31350081092.00,1507.50,1377.50
192.168.20.43,143.204.231.118,2022-03-11,60283288.00,195,60283288.00,0.00,195.00,0.00
192.168.20.43,224.0.0.22,2022-02-11,47639567.00,5,47639567.00,0.00,5.00,0.00
192.168.20.43,52.217.166.41,2022-03-11,9044620.00,323,9044620.00,0.00,323.00,0.00
52.46.137.248,192.168.20.43,2022-02-11,109.00,2,109.00,0.00,2.00,0.00
192.168.20.43,54.187.92.102,2022-03-11,51940797.00,108,51940797.00,0.00,108.00,0.00
192.168.20.43,52.94.231.222,2022-02-11,8977969.00,325,4803248.50,4174720.50,171.00,154.00
192.168.20.43,52.46.146.139,2022-06-10,1133878.00,24,232147088.00,231013210.00,144.50,120.50
192.168.20.43,92.243.6.5,2022-02-11,2262.00,1,2262.00,0.00,1.00,0.00
Source IP,Destination IP,Date,Total Flow Duration,Total Forward Packets,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
192.168.20.43,209.54.181.98,2022-07-10,66658345.00,11,66658345.00,0.00,11.00,0.00
192.168.20.48,13.37.195.75,2022-07-10,371629.00,89,371629.00,0.00,89.00,0.00
192.168.20.15,255.255.255.255,2022-03-11,79514392859.00,27173,41546627721.50,37967765137.50,14198.00,12975.00
192.168.20.18,8.8.8.8,2022-02-11,336103.00,2,336103.00,0.00,2.00,0.00
192.168.20.48,3.92.103.73,2022-03-11,2106278.00,42,2106278.00,0.00,42.00,0.00
54.171.11.240,192.168.20.19,2022-02-11,1380.00,3,16880.50,15500.50,37.00,34.00
209.54.181.79,192.168.20.43,2022-03-11,2921.00,6,2921.00,0.00,6.00,0.00
143.204.217.144,192.168.20.43,2022-01-11,299833146.00,14,389824354.00,89991208.00,18.00,4.00
52.94.225.56,192.168.20.43,2022-02-11,1285.00,3,1285.00,0.00,3.00,0.00
34.192.154.181,192.168.20.43,2022-02-11,80330.00,6,80330.00,0.00,6.00,0.00
18.136.20.221,192.168.20.48,2022-06-10,2104.00,2,10404.50,8300.50,3.00,1.00
13.127.196.185,192.168.20.48,2022-07-10,19906.00,6,19906.00,0.00,6.00,0.00
192.168.20.43,34.98.74.57,2022-02-11,21484.00,5,21484.00,0.00,5.00,0.00
52.37.30.201,192.168.20.43,2022-02-11,6851.00,27,6851.00,0.00,27.00,0.00
143.204.217.144,192.168.20.48,2022-02-11,145.00,2,145.00,0.00,2.00,0.00
52.45.41.186,192.168.20.48,2022-07-10,17639.00,2,17639.00,0.00,2.00,0.00
52.214.227.89,192.168.20.43,2022-03-11,1572.00,8,1572.00,0.00,8.00,0.00
44.199.52.214,192.168.20.48,2022-03-11,4258648.00,83,4258648.00,0.00,83.00,0.00
192.168.20.43,176.32.109.233,2022-02-11,62476966.00,34,62476966.00,0.00,34.00,0.00
13.210.43.32,192.168.20.48,2022-07-10,20755.00,4,20755.00,0.00,4.00,0.00
192.168.20.43,143.204.231.122,2022-02-11,2731968.00,6,2731968.00,0.00,6.00,0.00
192.168.20.10,35.195.102.202,2022-03-11,78201106434.00,41410,40835492370.50,37365614063.50,20949.50,20460.50
209.54.177.153,192.168.20.48,2022-02-11,176941.00,1,176941.00,0.00,1.00,0.00
192.168.20.48,52.72.11.176,2022-03-11,886566.00,19,886566.00,0.00,19.00,0.00
192.168.20.43,209.54.181.86,2022-02-11,786906.00,18,786906.00,0.00,18.00,0.00
52.214.227.89,192.168.20.48,2022-03-11,2446.00,14,2446.00,0.00,14.00,0.00
192.168.20.42,216.58.204.99,2022-06-10,6213271391.00,365,36584683197.00,30371411806.00,2168.00,1803.00
18.163.70.120,192.168.20.48,2022-03-11,300140.00,1,300140.00,0.00,1.00,0.00
192.168.20.10,162.159.200.1,2022-02-11,50076.00,5,50076.00,0.00,5.00,0.00
52.84.186.170,192.168.20.43,2022-07-10,15104.00,2,15104.00,0.00,2.00,0.00
44.199.138.71,192.168.20.48,2022-03-11,1099232.00,28,1099232.00,0.00,28.00,0.00
216.58.206.238,192.168.20.42,2022-03-11,45039235.00,7,45039235.00,0.00,7.00,0.00
192.168.20.19,54.217.52.155,2022-03-11,10509424822.00,2785,5410053904.50,5099370917.50,1467.50,1317.50
192.168.20.43,44.197.43.221,2022-03-11,128080296.00,2066,86390647.00,41689649.00,1869.00,197.00
8.6.0.1,8.0.6.4,2022-03-11,79837403095.00,39650,41692287079.00,38145116016.00,20905.50,18744.50
192.168.20.48,3.33.199.61,2022-03-11,419887.00,14,419887.00,0.00,14.00,0.00
192.168.20.42,142.250.179.78,2022-02-11,195005227.00,22,195005227.00,0.00,22.00,0.00
192.168.20.15,3.126.235.192,2022-03-11,194930.00,17,194930.00,0.00,17.00,0.00
43.205.35.127,192.168.20.48,2022-03-11,502330.00,5,502330.00,0.00,5.00,0.00
192.168.20.42,151.101.2.217,2022-07-10,429596842.00,31,429596842.00,0.00,31.00,0.00
192.168.20.48,35.171.216.243,2022-03-11,396270.00,18,396270.00,0.00,18.00,0.00
52.79.118.208,192.168.20.48,2022-03-11,695386.00,3,695386.00,0.00,3.00,0.00
192.168.20.13,18.184.31.90,2022-06-10,5285362551.00,261,34446505638.50,29161143087.50,1546.00,1285.00
192.168.20.42,142.250.179.74,2022-03-11,200026203.00,64,200026203.00,0.00,64.00,0.00
192.168.20.48,3.227.83.236,2022-03-11,26419807.00,772,26419807.00,0.00,772.00,0.00
52.78.15.113,192.168.20.48,2022-03-11,804491.00,3,804491.00,0.00,3.00,0.00
192.168.20.43,52.2.208.65,2022-03-11,1314921599.00,168,1314921599.00,0.00,168.00,0.00
3.37.195.5,192.168.20.48,2022-07-10,8533.00,3,8533.00,0.00,3.00,0.00
13.37.191.91,192.168.20.48,2022-03-11,8891.00,5,8891.00,0.00,5.00,0.00
192.168.20.43,52.216.27.92,2022-02-11,26486644.00,316,26486644.00,0.00,316.00,0.00
192.168.20.42,199.232.58.248,2022-07-10,374008034.00,72,374008034.00,0.00,72.00,0.00
192.168.20.43,3.212.205.83,2022-02-11,7411979.00,29,68599683.00,61187704.00,101.00,72.00
192.168.20.48,3.140.228.75,2022-03-11,3410685.00,87,3410685.00,0.00,87.00,0.00
192.168.20.43,52.46.128.39,2022-07-10,65588328.00,31,65588328.00,0.00,31.00,0.00
192.168.20.19,216.239.35.4,2022-03-11,109663.00,19,57722.50,51940.50,10.00,9.00
192.168.20.42,142.250.179.67,2022-02-11,195065397.00,31,195065397.00,0.00,31.00,0.00
54.166.21.152,192.168.20.48,2022-03-11,2485193.00,24,2485193.00,0.00,24.00,0.00
192.168.20.19,216.239.35.8,2022-03-11,116735.00,20,116735.00,0.00,20.00,0.00
54.253.143.250,192.168.20.48,2022-07-10,29063.00,8,29063.00,0.00,8.00,0.00
192.168.20.43,209.54.183.244,2022-03-11,360801.00,11,360801.00,0.00,11.00,0.00
192.168.20.42,74.125.133.188,2022-07-10,38739700496.00,1749,38739700496.00,0.00,1749.00,0.00
67.220.241.5,192.168.20.43,2022-02-11,1400.00,3,1400.00,0.00,3.00,0.00
143.204.231.118,192.168.20.43,2022-03-11,764.00,3,764.00,0.00,3.00,0.00
142.250.179.106,192.168.20.42,2022-03-11,5888.00,10,5888.00,0.00,10.00,0.00
192.168.20.48,255.255.255.255,2022-03-11,43115.00,72,43115.00,0.00,72.00,0.00
54.158.105.246,192.168.20.48,2022-03-11,324799.00,3,324799.00,0.00,3.00,0.00
192.168.20.19,216.239.35.0,2022-02-11,5654.00,1,60177.50,54523.50,10.50,9.50
192.168.20.43,143.204.231.30,2022-02-11,37931218.00,12,37931218.00,0.00,12.00,0.00
192.168.20.43,13.225.29.39,2022-03-11,261141061.00,235,261141061.00,0.00,235.00,0.00
192.168.20.43,54.78.149.94,2022-02-11,561717.00,28,561717.00,0.00,28.00,0.00
192.168.20.42,255.255.255.255,2022-02-11,3902365751.00,121,46028283786.00,42125918035.00,1419.00,1298.00
192.168.20.43,52.217.66.204,2022-02-11,9116195.00,306,9116195.00,0.00,306.00,0.00
52.94.225.227,192.168.20.43,2022-03-11,1398.00,2,1398.00,0.00,2.00,0.00
192.168.20.43,143.204.231.38,2022-03-11,30112352.00,6,30112352.00,0.00,6.00,0.00
192.168.20.43,209.54.183.240,2022-03-11,494881.00,12,494881.00,0.00,12.00,0.00
35.177.87.146,192.168.20.48,2022-06-10,2347.00,2,4699.50,2352.50,3.00,1.00
192.168.20.42,142.250.179.99,2022-03-11,195441539.00,48,195441539.00,0.00,48.00,0.00
192.168.20.19,224.0.0.251,2022-03-11,41200098595.00,1446,21538456970.50,19661641624.50,756.50,689.50
52.46.136.68,192.168.20.43,2022-02-11,1906.00,3,1906.00,0.00,3.00,0.00
192.168.20.48,44.199.52.214,2022-03-11,74296597.00,2132,74296597.00,0.00,2132.00,0.00
192.168.20.48,52.207.104.123,2022-03-11,466503.00,13,466503.00,0.00,13.00,0.00
52.222.149.3,192.168.20.48,2022-03-11,97091.00,1,97091.00,0.00,1.00,0.00
192.168.20.42,74.125.206.188,2022-03-11,9967833910.00,354,9967833910.00,0.00,354.00,0.00
192.168.20.43,34.206.100.209,2022-02-11,97254079.00,41,97254079.00,0.00,41.00,0.00
209.54.179.233,192.168.20.43,2022-02-11,28080.00,2,14808.50,13271.50,2.50,0.50
52.95.123.112,192.168.20.43,2022-02-11,21278.00,2,21278.00,0.00,2.00,0.00
3.227.83.236,192.168.20.48,2022-03-11,2210932.00,31,2210932.00,0.00,31.00,0.00
192.168.20.43,52.27.163.92,2022-02-11,8851266.00,17,39167196.00,30315930.00,79.50,62.50
192.168.20.42,142.250.178.138,2022-02-11,90757454.00,32,75389173.00,15368281.00,19.50,12.50
192.168.20.43,176.32.101.122,2022-02-11,12386773.00,29,12386773.00,0.00,29.00,0.00
192.168.20.42,151.101.194.217,2022-03-11,429605807.00,28,429605807.00,0.00,28.00,0.00
192.168.20.43,44.209.146.104,2022-03-11,768830848.00,98,768830848.00,0.00,98.00,0.00
192.168.20.20,99.81.252.178,2022-07-10,5831311758.00,328,5831311758.00,0.00,328.00,0.00
3.227.83.236,192.168.20.43,2022-02-11,79.00,2,79.00,0.00,2.00,0.00
54.164.163.115,192.168.20.48,2022-03-11,2842070.00,39,2842070.00,0.00,39.00,0.00
192.168.20.43,35.167.225.196,2022-02-11,100457157.00,55,76654108.50,23803048.50,93.00,38.00
54.164.163.115,192.168.20.43,2022-03-11,111.00,2,111.00,0.00,2.00,0.00
192.168.20.48,18.216.180.71,2022-03-11,3768717.00,96,3768717.00,0.00,96.00,0.00
192.168.20.43,3.208.140.212,2022-03-11,31995877.00,295,31995877.00,0.00,295.00,0.00
157.175.254.63,192.168.20.48,2022-07-10,3669.00,3,3669.00,0.00,3.00,0.00
209.54.177.114,192.168.20.48,2022-03-11,558852.00,1,558852.00,0.00,1.00,0.00
18.164.55.101,192.168.20.43,2022-03-11,59968693.00,2,59968693.00,0.00,2.00,0.00
54.215.85.141,192.168.20.48,2022-07-10,56159.00,6,56159.00,0.00,6.00,0.00
18.210.238.233,192.168.20.48,2022-07-10,5280.00,2,5280.00,0.00,2.00,0.00
192.168.20.43,178.236.7.140,2022-07-10,17764069.00,25,17764069.00,0.00,25.00,0.00
192.168.20.42,142.250.178.142,2022-03-11,32505493.00,36,20348331.00,12157162.00,22.50,13.50
43.205.185.100,192.168.20.48,2022-03-11,1131600.00,15,1131600.00,0.00,15.00,0.00
